snippet,sentiment,cleaned_snippet
"fine acting but there is no sense of connecting the dots , just dots . 
",1,fine acting sense connecting dots dots
"an extraordinary swedish film about the soul adventure of marriage -- the kind of intimate and character-driven film that bille august does best . 
",1,extraordinary swedish film soul adventure marriage kind intimate characterdriven film bille august best
"a blessed gift to film geeks and historians . if the '70's were your idea of a good time at the movies , this will make you very happy . 
",1,blessed gift film geeks historians 70s idea good time movies make happy
"it took 19 predecessors to get this ? 
",1,took 19 predecessors get
"thoughtful , even stinging at times , and lots of fun . 
",1,thoughtful even stinging times lots fun
"one of the most haunting , viciously honest coming-of-age films in recent memory . 
",1,one haunting viciously honest comingofage films recent memory
"the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear . 
",1,wwii drama well plotted visually striking filled enjoyably complex characters never first appear
"it's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn . 
",1,pleasure see seinfeld griping biz buddies chris rock garry shandling colin quinn
"if you love motown music , you'll love this documentary . 
",1,love motown music youll love documentary
"this time out , [sade] is an unsettlingly familiar figure -- in turns loyal and deceitful , responsible and reckless , idealistically selfless and coldly self-interested . 
",1,time sade unsettlingly familiar figure turns loyal deceitful responsible reckless idealistically selfless coldly selfinterested
"human resources was a good , straightforward tale , but time out is better . it's haunting . it's like a poem . 
",1,human resources good straightforward tale time better haunting like poem
"to the film's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment . 
",1,films credit acting fresh unselfconscious munch marvel reality versus sappy sentiment
"chicago is , in many ways , an admirable achievement . 
",1,chicago many ways admirable achievement
"shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic . 
",1,shainberg weaves carefully balanced scenario controlled neither character weirdly sympathetic manages tender darkly comic
"even when foreign directors . . . borrow stuff from hollywood , they invariably shake up the formula and make it more interesting . 
",1,even foreign directors borrow stuff hollywood invariably shake formula make interesting
"a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe . . . the most aggressively nerve-wracking and screamingly neurotic romantic comedy in cinema history . 
",1,cockamamie tone poem pitched precipitously swoony lyricism violent catastrophe aggressively nervewracking screamingly neurotic romantic comedy cinema history
"sturdy , entertaining period drama . . . both caine and fraser have their moments . 
",1,sturdy entertaining period drama caine fraser moments
"whether [binoche and magimel] are being charming or angst-ridden , they easily fill their scenes and , fine judges both , never overcook the hysteria . 
",1,whether binoche magimel charming angstridden easily fill scenes fine judges never overcook hysteria
"a spunky , original take on a theme that will resonate with singles of many ages . 
",1,spunky original take theme resonate singles many ages
"it's a glorious groove that leaves you wanting more . 
",1,glorious groove leaves wanting
"majidi gets uniformly engaging performances from his largely amateur cast . 
",1,majidi gets uniformly engaging performances largely amateur cast
" . . . a well-observed and disturbing little movie
",1,wellobserved disturbing little movie
"fans of nijinsky will savor every minute of cox's work . 
",1,fans nijinsky savor every minute coxs work
"everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids . 
",1,everything loved 1982 still everybody wants kid show kids
"jagger the actor is someone you want to see again . 
",1,jagger actor someone want see
"warm and exotic . 
",1,warm exotic
"escapism in its purest form . 
",1,escapism purest form
"there is a kind of attentive concern that hoffman brings to his characters , as if he has been giving them private lessons , and now it is time for their first public recital . 
",1,kind attentive concern hoffman brings characters giving private lessons time first public recital
"a comic gem with some serious sparkles . 
",1,comic gem serious sparkles
"u . s . audiences may find [attal and gainsbourg's] unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts . 
",1,u audiences may find attal gainsbourgs unfamiliar personas give film intimate quaint reality little closer human nature hollywood typically concocts
" "" cremaster 3 "" should come with the warning "" for serious film buffs only ! "" 
",1,cremaster 3 come warning serious film buffs
"once again , director jackson strikes a rewarding balance between emotion on the human scale and action/effects on the spectacular scale . 
",1,director jackson strikes rewarding balance emotion human scale actioneffects spectacular scale
"a loving little film of considerable appeal . 
",1,loving little film considerable appeal
"although it's a bit smug and repetitive , this documentary engages your brain in a way few current films do . 
",1,although bit smug repetitive documentary engages brain way current films
"flawed but worthy look at life in u . s . relocation camps . 
",1,flawed worthy look life u relocation camps
"it's a lovely film with lovely performances by buy and accorsi . 
",1,lovely film lovely performances buy accorsi
"no one goes unindicted here , which is probably for the best . and if you're not nearly moved to tears by a couple of scenes , you've got ice water in your veins . 
",1,one goes unindicted probably best youre nearly moved tears couple scenes youve got ice water veins
"a warm , funny , engaging film . 
",1,warm funny engaging film
"uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity . 
",1,uses sharp humor insight human nature examine class conflict adolescent yearning roots friendship sexual identity
"half submarine flick , half ghost story , all in one criminally neglected film
",1,half submarine flick half ghost story one criminally neglected film
"entertains by providing good , lively company . 
",1,entertains providing good lively company
"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth's best soundtrack in years . 
",1,dazzles fullywritten characters determined stylishness always relates characters story johnny dankworths best soundtrack years
"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . 
",1,visually imaginative thematically instructive thoroughly delightful takes us rollercoaster ride innocence experience without even hint typical kiddieflick sentimentality
"nothing's at stake , just a twisty double-cross you can smell a mile away--still , the derivative nine queens is lots of fun . 
",1,nothings stake twisty doublecross smell mile awaystill derivative nine queens lots fun
"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners . 
",1,unlike speedy whambam effect hollywood offerings character development importantly character empathy heart italian beginners
"you'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . 
",1,youll gasp appalled laugh outraged possibly watching spectacle promising young lad treading desperately nasty sea shed errant tear
"the band's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . 
",1,bands courage face official repression inspiring especially aging hippies one included
"although german cooking does not come readily to mind when considering the world's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists . 
",1,although german cooking come readily mind considering worlds best cuisine mostly martha could make deutchland popular destination hungry tourists
"a beguiling splash of pastel colors and prankish comedy from disney . 
",1,beguiling splash pastel colors prankish comedy disney
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . 
",1,surreal dream detailed photograph visually dexterous times imaginatively overwhelming
"[lawrence bounces] all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . 
",1,lawrence bounces stage dancing running sweating mopping face generally displaying wacky talent brought fame first place
"the film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people . 
",1,film serves valuable time capsule remind us devastating horror suffered entire people
"what's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . 
",1,whats surprising full frontal despite overt selfawareness parts movie still manage break past artifice thoroughly engage
"whether you like rap music or loathe it , you can't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . 
",1,whether like rap music loathe cant deny either tragic loss two young men prime talent power movie
" . . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume . 
",1,otherwise intense twistandturn thriller certainly shouldnt hurt talented young gaghans resume
"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . 
",1,provides grand intelligent entertainment superior cast playing smart people amid compelling plot
"charming and funny ( but ultimately silly ) movie . 
",1,charming funny ultimately silly movie
"there's . . . tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . 
",1,theres tremendous energy cast sense playfulness excitement seems appropriate
"it moves quickly , adroitly , and without fuss ; it doesn't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . 
",1,moves quickly adroitly without fuss doesnt give time reflect inanity cold war datedness premise
"a deep and meaningful film . 
",1,deep meaningful film
"the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip . 
",1,films welcome breeziness unbelievably hilarious moments portraying idiocy film industry make mostly worth trip
"it's a remarkably solid and subtly satirical tour de force . 
",1,remarkably solid subtly satirical tour de force
"enormously entertaining for moviegoers of any age . 
",1,enormously entertaining moviegoers age
"a poignant , artfully crafted meditation on mortality . 
",1,poignant artfully crafted meditation mortality
"a rarity among recent iranian films : it's a comedy full of gentle humor that chides the absurdity of its protagonist's plight . 
",1,rarity among recent iranian films comedy full gentle humor chides absurdity protagonists plight
"not only is undercover brother as funny , if not more so , than both austin powers films , but it's also one of the smarter , savvier spoofs to come along in some time . 
",1,undercover brother funny austin powers films also one smarter savvier spoofs come along time
"in a way , the film feels like a breath of fresh air , but only to those that allow it in . 
",1,way film feels like breath fresh air allow
"woody allen's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz . 
",1,woody allens latest ambling broad comedy love hate movie biz
"it's a stunning lyrical work of considerable force and truth . 
",1,stunning lyrical work considerable force truth
"the inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power , as if they were tales that had been handed down since the beginning of time . 
",1,inhospitability land emphasizes spare precision narratives helps give atavistic power tales handed since beginning time
"[næs] directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage . 
",1,næs directed stage version elling gets fine performances two leads originated characters stage
"made me unintentionally famous  as the queasy-stomached critic who staggered from the theater and blacked out in the lobby . but believe it or not , it's one of the most beautiful , evocative works i've seen . 
",1,made unintentionally famous queasystomached critic staggered theater blacked lobby believe one beautiful evocative works ive seen
"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court's extradition chess game and the regime's talking-head survivors . 
",1,coda every sense pinochet case splits time minutebyminute account british courts extradition chess game regimes talkinghead survivors
"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well . 
",1,like mike winner kids doubt winner lil bow wow add movies list things well
"[t]his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . 
",1,beguiling belgian fable much droll delicate little film touching things say important life
"here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep . but taken as a stylish and energetic one-shot , the queen of the damned cannot be said to suck . 
",1,heres yet another studio horror franchise mucking storyline glitches casual fans could correct sleep taken stylish energetic oneshot queen damned said suck
"you won't like roger , but you will quickly recognize him . and that's a big part of why we go to the movies . 
",1,wont like roger quickly recognize thats big part go movies
"while the stoically delivered hokum of hart's war is never fun , it's still a worthy addition to the growing canon of post-saving private ryan tributes to the greatest generation . 
",1,stoically delivered hokum harts war never fun still worthy addition growing canon postsaving private ryan tributes greatest generation
"we know the plot's a little crazy , but it held my interest from start to finish . 
",1,know plots little crazy held interest start finish
"a sober and affecting chronicle of the leveling effect of loss . 
",1,sober affecting chronicle leveling effect loss
"a fast , funny , highly enjoyable movie . 
",1,fast funny highly enjoyable movie
"a celebration of quirkiness , eccentricity , and certain individuals' tendency to let it all hang out , and damn the consequences . 
",1,celebration quirkiness eccentricity certain individuals tendency let hang damn consequences
"writer/director joe carnahan's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . 
",1,writerdirector joe carnahans grimy crime drama manual precinct cliches moves fast enough cover clunky dialogue lapses logic
"a smart , witty follow-up . 
",1,smart witty followup
"while the ideas about techno-saturation are far from novel , they're presented with a wry dark humor . 
",1,ideas technosaturation far novel theyre presented wry dark humor
"an infectious cultural fable with a tasty balance of family drama and frenetic comedy . 
",1,infectious cultural fable tasty balance family drama frenetic comedy
"although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs . 
",1,although occasionally static point resembling stage play film delivers solid mixture sweetness laughs
"it provides an honest look at a community striving to anchor itself in new grounds . 
",1,provides honest look community striving anchor new grounds
"add yet another hat to a talented head , clooney's a good director . 
",1,add yet another hat talented head clooneys good director
"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise . 
",1,building slowly subtly film sporting breezy spontaneity realistically drawn characterizations develops significant character study moving wise
"ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine . 
",1,ultimately feels empty unsatisfying like swallowing communion wafer without wine
"chilling , well-acted , and finely directed : david jacobson's dahmer . 
",1,chilling wellacted finely directed david jacobsons dahmer
"a swashbuckling tale of love , betrayal , revenge and above all , faith . 
",1,swashbuckling tale love betrayal revenge faith
" . . . a true delight . 
",1,true delight
"without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality . 
",1,without ever becoming didactic director carlos carrera expertly weaves novelistic story entangled interrelationships complex morality
"it's a coming-of-age story we've all seen bits of in other films -- but it's rarely been told with such affecting grace and cultural specificity . 
",1,comingofage story weve seen bits films rarely told affecting grace cultural specificity
"a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 . 
",1,literate presentation wonderfully weaves murderous event 1873 murderous rage 2002
"makes even the claustrophobic on-board quarters seem fun . 
",1,makes even claustrophobic onboard quarters seem fun
"this is as respectful a film as byatt fans could hope for , though lovers of the book may wonder why it's necessary . 
",1,respectful film byatt fans could hope though lovers book may wonder necessary
"one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals . . . a psychological masterpiece . 
",1,one best films year exploration obstacles happiness faced five contemporary individuals psychological masterpiece
"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . 
",1,far beneath surface reconfigured tale asks disturbing questions things expect military epics
"for the most part stevens glides through on some solid performances and witty dialogue . 
",1,part stevens glides solid performances witty dialogue
"broomfield turns his distinctive 'blundering' style into something that could really help clear up the case . 
",1,broomfield turns distinctive blundering style something could really help clear case
"against all odds in heaven and hell , it creeped me out just fine . 
",1,odds heaven hell creeped fine
"it's refreshing to see a girl-power movie that doesn't feel it has to prove anything . 
",1,refreshing see girlpower movie doesnt feel prove anything
"it's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children . 
",1,worth seeing basis wisdom times startling optimism children
"a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love . 
",1,rigorously structured exquisitely filmed drama father son connection brief shooting star love
"this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . a rewarding work of art for only the most patient and challenge-hungry moviegoers . 
",1,surreal gilliamesque film also troubling interpretation ecclesiastes rewarding work art patient challengehungry moviegoers
"a quiet treasure -- a film to be savored . 
",1,quiet treasure film savored
"may be far from the best of the series , but it's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . 
",1,may far best series assured wonderfully respectful past thrilling enough make abundantly clear movie phenomenon reinvented new generation
"a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . 
",1,compelling spanish film withering effects jealousy life young monarch whose sexual passion husband becomes obsession
"huston nails both the glad-handing and the choking sense of hollow despair . 
",1,huston nails gladhanding choking sense hollow despair
"may not have generated many sparks , but with his affection for astoria and its people he has given his tale a warm glow . 
",1,may generated many sparks affection astoria people given tale warm glow
"a delirious celebration of the female orgasm . 
",1,delirious celebration female orgasm
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . 
",1,exquisitely nuanced mood tics dialogue chamber drama superbly acted deeply appealing veteran bouquet chilling quite human berling
"it's fascinating to see how bettany and mcdowell play off each other . 
",1,fascinating see bettany mcdowell play
"the film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of joan's madness . 
",1,film beautifully mounted point issues subtly presented managing walk fine line regard question joans madness
"leigh's film is full of memorable performances from top to bottom . 
",1,leighs film full memorable performances top bottom
"one of the most significant moviegoing pleasures of the year . 
",1,one significant moviegoing pleasures year
"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory . 
",1,jose campanella delivers loosely autobiographical story brushed sentimentality brimming gentle humor bittersweet pathos lyric moments linger like snapshots memory
"generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes . 
",1,generally clockstoppers fulfill wildest fantasies different kind time traveler happily killing 94 minutes
"the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in hollywood's hastier productions . 
",1,movie beautiful behold engages one sense epic struggle inner outer thats rare hollywoods hastier productions
"ao sair do cinema , eu estava feliz e com saudades de um tempo em que , para mim , a existência de papai noel era um fato inquestionável . 
",1,ao sair cinema eu estava feliz e com saudades de um tempo em que para mim existência de papai noel era um fato inquestionável
"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . 
",1,neither parker donovan typical romantic lead bring fresh quirky charm formula
"it's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip . 
",1,much emotional journey shyamalan given us past two movies gibson stepping bruce willis perfect actor take us trip
"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j . k . rowling's books . 
",1,special effects narrative flow much improved daniel radcliffe emotionally assertive time around harry film conjures magic author j k rowlings books
"jaglom . . . put[s] the audience in the privileged position of eavesdropping on his characters
",1,jaglom puts audience privileged position eavesdropping characters
"beautifully observed , miraculously unsentimental comedy-drama . 
",1,beautifully observed miraculously unsentimental comedydrama
"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . 
",1,mustsee david mamet enthusiast anyone appreciates intelligent stylish moviemaking
"crackerjack entertainment -- nonstop romance , music , suspense and action . 
",1,crackerjack entertainment nonstop romance music suspense action
"the acting , costumes , music , cinematography and sound are all astounding given the production's austere locales . 
",1,acting costumes music cinematography sound astounding given productions austere locales
"garcía bernal and talancón are an immensely appealing couple , and even though their story is predictable , you'll want things to work out . 
",1,garcía bernal talancón immensely appealing couple even though story predictable youll want things work
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . 
",1,far imaginative ambitious trivial cashin features nickelodeon made animated tv series
"the very definition of the 'small' movie , but it is a good stepping stone for director sprecher . 
",1,definition small movie good stepping stone director sprecher
"a gripping , searing portrait of a lost soul trying to find her way through life . 
",1,gripping searing portrait lost soul trying find way life
"suffers from the lack of a compelling or comprehensible narrative . still , as a visual treat , the film is almost unsurpassed . 
",1,suffers lack compelling comprehensible narrative still visual treat film almost unsurpassed
"so unassuming and pure of heart , you can't help but warmly extend your arms and yell 'safe ! '
",1,unassuming pure heart cant help warmly extend arms yell safe
"an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution . 
",1,intriguing cinematic omnibus roundrobin occasionally interesting concept execution
"so refreshingly incisive is grant that for the first time he'll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor . 
",1,refreshingly incisive grant first time hell probably appeal guys girlfriends drag movie hugh factor
"at a time when half the so-called real movies are little more than live-action cartoons , it's refreshing to see a cartoon that knows what it is , and knows the form's history . 
",1,time half socalled real movies little liveaction cartoons refreshing see cartoon knows knows forms history
"the magic of the film lies not in the mysterious spring but in the richness of its performances . 
",1,magic film lies mysterious spring richness performances
"hoffman notches in the nuances of pain , but his smart , edgy voice and waddling profile ( emphasized here ) accent the humor of wilson's plight , and that saves his pathos from drippiness . 
",1,hoffman notches nuances pain smart edgy voice waddling profile emphasized accent humor wilsons plight saves pathos drippiness
"what better message than 'love thyself' could young women of any size receive ? 
",1,better message love thyself could young women size receive
"the second coming of harry potter is a film far superior to its predecessor . a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . 
",1,second coming harry potter film far superior predecessor movie successfully crushes best selling novel timeframe mandates avoid godzilla sized soda
"84 minutes of rolling musical back beat and supercharged cartoon warfare . it's also , clearly , great fun . 
",1,84 minutes rolling musical back beat supercharged cartoon warfare also clearly great fun
" . . . takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport
",1,takes beauty baseball melds story could touch anyone regardless familiarity sport
"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness . 
",1,seldahls barbara precise moving portrait someone whose world turned upside first passion illness
"a warm but realistic meditation on friendship , family and affection . 
",1,warm realistic meditation friendship family affection
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . 
",1,byler reveals characters way intrigues even fascinates us never reduces situation simple melodrama
"turns potentially forgettable formula into something strangely diverting . 
",1,turns potentially forgettable formula something strangely diverting
"bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid . 
",1,bogdanovich tantalizes offering peep show lives eras creme de la celluloid
"people cinema at its finest . 
",1,people cinema finest
"the performances take the movie to a higher level . 
",1,performances take movie higher level
"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure . 
",1,really makes special pulls us world gives us hero whose suffering triumphs share surrounds interesting characters sends us theater feeling weve shared great adventure
" . . . a spoof comedy that carries its share of laughs  sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh . 
",1,spoof comedy carries share laughs sometimes chuckle sometimes guffaw great pleasure occasional belly laugh
"manages to transcend the sex , drugs and show-tunes plot into something far richer . 
",1,manages transcend sex drugs showtunes plot something far richer
"dense with characters and contains some thrilling moments . 
",1,dense characters contains thrilling moments
"a true pleasure . 
",1,true pleasure
"lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class . 
",1,lapaglias ability convey grief hope works weavers sensitive reactions make twoactor master class
"reign of fire looks as if it was made without much thought -- and is best watched that way . 
",1,reign fire looks made without much thought best watched way
"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . 
",1,altogether successful film time touching reconsideration familiar masterpiece
"we root for [clara and paul] , even like them , though perhaps it's an emotion closer to pity . 
",1,root clara paul even like though perhaps emotion closer pity
"the best film about baseball to hit theaters since field of dreams . 
",1,best film baseball hit theaters since field dreams
"instead of a hyperbolic beat-charged urban western , it's an unpretentious , sociologically pointed slice of life . 
",1,instead hyperbolic beatcharged urban western unpretentious sociologically pointed slice life
"the film tunes into a grief that could lead a man across centuries . 
",1,film tunes grief could lead man across centuries
"if the count of monte cristo doesn't transform caviezel into a movie star , then the game is even more rigged than it was two centuries ago . 
",1,count monte cristo doesnt transform caviezel movie star game even rigged two centuries ago
"[d]oesn't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . 
",1,doesnt bother cloying preachy equivalent evangelical christian movies maybe filmmakers know likely audience already among faithful
"as a tolerable diversion , the film suffices ; a triumph , however , it is not . 
",1,tolerable diversion film suffices triumph however
"if director michael dowse only superficially understands his characters , he doesn't hold them in contempt . 
",1,director michael dowse superficially understands characters doesnt hold contempt
"if your taste runs to 'difficult' films you absolutely can't miss it . 
",1,taste runs difficult films absolutely cant miss
"[city] reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of 'analyze this' ( 1999 ) and 'analyze that , ' promised ( or threatened ) for later this year . 
",1,city reminds us realistically nuanced robert de niro performance lucratively engaged shameless selfcaricature analyze 1999 analyze promised threatened later year
" . . . a story we haven't seen on the big screen before , and it's a story that we as americans , and human beings , should know . 
",1,story havent seen big screen story americans human beings know
"like leon , it's frustrating and still oddly likable . 
",1,like leon frustrating still oddly likable
"all in all , the count of monte cristo is okay , but it is surely no classic , like the novel upon which it is based . 
",1,count monte cristo okay surely classic like novel upon based
"if you can stomach the rough content , it's worth checking out for the performances alone . 
",1,stomach rough content worth checking performances alone
"looking aristocratic , luminous yet careworn in jane hamilton's exemplary costumes , rampling gives a performance that could not be improved upon . 
",1,looking aristocratic luminous yet careworn jane hamiltons exemplary costumes rampling gives performance could improved upon
"' . . . mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '
",1,mafia rap stars hood rats butt ugly heads regurgitation cinematic violence gives brutal birth unlikely likable hero
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . 
",1,tricky topic tadpole much step right direction blend frankness civility compassion
"fun , flip and terribly hip bit of cinematic entertainment . 
",1,fun flip terribly hip bit cinematic entertainment
"montias . . . pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . 
",1,montias pumps lot energy nicely nuanced narrative surrounds cast quirky stereotyped street characters
"falls neatly into the category of good stupid fun . 
",1,falls neatly category good stupid fun
"the film's performances are thrilling . 
",1,films performances thrilling
"even in its most tedious scenes , russian ark is mesmerizing . 
",1,even tedious scenes russian ark mesmerizing
"the continued good chemistry between carmen and juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained . 
",1,continued good chemistry carmen juni keeps slightly disappointing sequel going enough amusing banter blessedly cursefree keep kids parents entertained
"reggio's continual visual barrage is absorbing as well as thought-provoking . 
",1,reggios continual visual barrage absorbing well thoughtprovoking
"unfortunately , it appears that [jackie] chan's us influence is starting to show in his hong kong films . 
",1,unfortunately appears jackie chans us influence starting show hong kong films
"it all adds up to good fun . 
",1,adds good fun
"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion . 
",1,big gorgeous sprawling swashbuckler delivers diversions grand uncomplicated fashion
"the wanton slipperiness of * corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art . 
",1,wanton slipperiness corpus amiable jerking reshaping physical time space would make great piece watch kids use introduce video art
"a stunning and overwhelmingly cogent case for kissinger as a calculating war criminal . 
",1,stunning overwhelmingly cogent case kissinger calculating war criminal
"sade is an engaging look at the controversial eponymous and fiercely atheistic hero . 
",1,sade engaging look controversial eponymous fiercely atheistic hero
"a quiet , pure , elliptical film
",1,quiet pure elliptical film
"kinnear doesn't aim for our sympathy , but rather delivers a performance of striking skill and depth . 
",1,kinnear doesnt aim sympathy rather delivers performance striking skill depth
"the subtle strength of "" elling "" is that it never loses touch with the reality of the grim situation . 
",1,subtle strength elling never loses touch reality grim situation
"a study in shades of gray , offering itself up in subtle plot maneuvers . . . 
",1,study shades gray offering subtle plot maneuvers
"the format gets used best . . . to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups . 
",1,format gets used best capture dizzying heights achieved motocross bmx riders whose balletic hotdogging occasionally ends bonecrushing screwups
"has a lot of the virtues of eastwood at his best . 
",1,lot virtues eastwood best
"chilling but uncommercial look into the mind of jeffrey dahmer , serial killer . 
",1,chilling uncommercial look mind jeffrey dahmer serial killer
"though it's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . 
",1,though become almost redundant say major kudos go leigh actually casting people look workingclass
"it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . 
",1,deserves seen anyone even passing interest events shaping world beyond horizons
"a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it's approached with imagination and flair . 
",1,movie reminds us exciting satisfying fantasy cinema approached imagination flair
"thanks to scott's charismatic roger and eisenberg's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . 
",1,thanks scotts charismatic roger eisenbergs sweet nephew roger dodger one compelling variations company men
"nine queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head . 
",1,nine queens frighteningly capable debut genre piece also snapshot dangerous political situation verge coming head
"it's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this "" two weddings and a funeral "" fun . 
",1,chemistry women droll scenestealing wit wolfish pessimism anna chancellor makes two weddings funeral fun
"will amuse and provoke adventurous adults in specialty venues . 
",1,amuse provoke adventurous adults specialty venues
"you don't have to know about music to appreciate the film's easygoing blend of comedy and romance . 
",1,dont know music appreciate films easygoing blend comedy romance
"third time's the charm . . . yeah , baby ! 
",1,third times charm yeah baby
"a film about a young man finding god that is accessible and touching to the marrow . 
",1,film young man finding god accessible touching marrow
